Year,Month,Day,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004,03,10,18:00:00,2.6,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578
2004,03,10,19:00:00,2,1292,112,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255
2004,03,10,20:00:00,2.2,1402,88,9.0,939,131,1140,114,1555,1074,11.9,54.0,0.7502
2004,03,10,21:00:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,11.0,60.0,0.7867
2004,03,10,22:00:00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888
2004,03,10,23:00:00,1.2,1197,38,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848
2004,03,11,00:00:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603
2004,03,11,01:00:00,1,1136,31,3.3,672,62,1453,76,1333,730,10.7,60.0,0.7702
2004,03,11,02:00:00,0.9,1094,24,2.3,609,45,1579,60,1276,620,10.7,59.7,0.7648
2004,03,11,03:00:00,0.6,1010,19,1.7,561,-200,1705,-200,1235,501,10.3,60.2,0.7517
2004,03,11,04:00:00,-200,1011,14,1.3,527,21,1818,34,1197,445,10.1,60.5,0.7465
2004,03,11,05:00:00,0.7,1066,8,1.1,512,16,1918,28,1182,422,11.0,56.2,0.7366
2004,03,11,06:00:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353
2004,03,11,07:00:00,1.1,1144,29,3.2,667,98,1490,82,1339,730,10.2,59.6,0.7417
2004,03,11,08:00:00,2,1333,64,8.0,900,174,1136,112,1517,1102,10.8,57.4,0.7408
2004,03,11,09:00:00,2.2,1351,87,9.5,960,129,1079,101,1583,1028,10.5,60.6,0.7691
2004,03,11,10:00:00,1.7,1233,77,6.3,827,112,1218,98,1446,860,10.8,58.4,0.7552
2004,03,11,11:00:00,1.5,1179,43,5.0,762,95,1328,92,1362,671,10.5,57.9,0.7352
2004,03,11,12:00:00,1.6,1236,61,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951
2004,03,11,13:00:00,1.9,1286,63,7.3,869,146,1162,112,1537,799,8.3,76.4,0.8393
2004,03,11,14:00:00,2.9,1371,164,11.5,1034,207,983,128,1730,1037,8.0,81.1,0.8736
2004,03,11,15:00:00,2.2,1310,79,8.8,933,184,1082,126,1647,946,8.3,79.8,0.8778
2004,03,11,16:00:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,9.7,71.2,0.8569
2004,03,11,17:00:00,2.9,1383,150,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.8185
2004,03,11,18:00:00,4.8,1581,307,20.8,1319,281,799,151,2083,1409,10.3,64.2,0.8065
2004,03,11,19:00:00,6.9,1776,461,27.4,1488,383,702,172,2333,1704,9.7,69.3,0.8319
2004,03,11,20:00:00,6.1,1640,401,24.0,1404,351,743,165,2191,1654,9.6,67.8,0.8133
2004,03,11,21:00:00,3.9,1313,197,12.8,1076,240,957,136,1707,1285,9.1,64.0,0.7419
2004,03,11,22:00:00,1.5,965,61,4.7,749,94,1325,85,1333,821,8.2,63.4,0.6905
2004,03,11,23:00:00,1,913,26,2.6,629,47,1565,53,1252,552,8.2,60.8,0.6657
2004,03,12,00:00:00,1.7,1080,55,5.9,805,122,1254,97,1375,816,8.3,58.5,0.6438
2004,03,12,01:00:00,1.9,1044,53,6.4,829,133,1247,110,1378,832,7.7,59.7,0.6308
2004,03,12,02:00:00,1.4,988,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276
2004,03,12,03:00:00,0.8,889,21,1.9,574,-200,1680,-200,1187,512,7.0,62.3,0.6261
2004,03,12,04:00:00,-200,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248
2004,03,12,05:00:00,0.6,847,7,1.0,501,30,1895,44,1155,394,6.3,65.0,0.6233
2004,03,12,06:00:00,0.8,927,17,1.8,571,56,1685,71,1223,487,6.8,62.9,0.6234
2004,03,12,07:00:00,1.4,1091,33,4.4,730,109,1387,104,1361,748,6.4,65.1,0.6316
2004,03,12,08:00:00,4.4,1587,202,17.9,1236,307,897,141,1900,1400,7.3,63.1,0.6499
2004,03,12,09:00:00,-200,1545,-200,22.1,1353,-200,767,-200,2058,1588,9.2,56.2,0.6561
2004,03,12,10:00:00,3.1,1350,208,14.0,1118,187,912,122,1712,1237,13.2,41.7,0.6320
2004,03,12,11:00:00,2.7,1263,166,11.6,1037,216,969,143,1598,1167,14.3,38.4,0.6243
2004,03,12,12:00:00,2.1,1206,114,10.2,986,143,1035,113,1537,959,15.0,36.5,0.6195
2004,03,12,13:00:00,2.5,1252,140,11.0,1016,160,1008,116,1593,983,16.1,34.5,0.6262
2004,03,12,14:00:00,2.7,1287,169,12.8,1078,163,949,123,1660,1061,16.3,35.7,0.6560
2004,03,12,15:00:00,2.9,1353,185,14.2,1122,190,922,126,1740,1139,15.8,37.0,0.6610
2004,03,12,16:00:00,2.8,1309,165,12.7,1073,178,954,120,1657,1112,15.9,37.2,0.6657
2004,03,12,17:00:00,2.4,1274,133,11.7,1041,150,1006,119,1610,994,16.9,34.3,0.6549
2004,03,12,18:00:00,3.9,1510,233,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.6766
2004,03,12,19:00:00,3.7,1525,242,18.2,1246,202,821,145,1847,1448,14.4,43.4,0.7084
2004,03,12,20:00:00,6.6,1843,488,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478
2004,03,12,21:00:00,4.4,1598,333,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.7536
2004,03,12,22:00:00,3.5,1484,215,14.3,1127,253,839,139,1723,1491,11.0,59.1,0.7740
2004,03,12,23:00:00,5.4,1677,367,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.7771
2004,03,13,00:00:00,2.7,1280,122,9.6,964,193,963,113,1544,1285,9.5,64.1,0.7597
2004,03,13,01:00:00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423
2004,03,13,02:00:00,1.6,1184,43,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.7256
2004,03,13,03:00:00,1.7,1172,46,5.4,783,-200,1179,-200,1380,996,7.8,67.5,0.7173
2004,03,13,04:00:00,-200,1147,56,6.2,821,109,1132,83,1412,992,7.0,71.1,0.7158
2004,03,13,05:00:00,1,978,30,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982
2004,03,13,06:00:00,1.2,1100,27,2.9,646,53,1406,60,1268,835,7.2,67.5,0.6887
2004,03,13,07:00:00,1.5,1112,47,5.1,770,139,1228,77,1409,940,6.3,71.9,0.6932
2004,03,13,08:00:00,2.7,1336,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945
2004,03,13,09:00:00,3.7,1408,239,15.1,1153,295,830,119,1777,1411,9.6,59.7,0.7124
2004,03,13,10:00:00,3.2,1447,160,12.9,1081,250,869,126,1667,1465,12.4,51.2,0.7335
2004,03,13,11:00:00,4.1,1542,283,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.7451
2004,03,13,12:00:00,3.6,1451,210,14.0,1117,239,875,161,1679,1387,18.4,33.8,0.7090
2004,03,13,13:00:00,2.8,1328,154,12.3,1059,153,987,124,1600,1101,19.4,31.3,0.6950
2004,03,13,14:00:00,2,1207,112,8.6,924,118,1088,102,1488,850,18.0,34.8,0.7127
2004,03,13,15:00:00,2,1240,108,9.2,947,119,1049,116,1532,947,18.4,33.6,0.7042
2004,03,13,16:00:00,2.5,1306,111,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012
2004,03,13,17:00:00,2.3,1326,97,10.6,1000,148,976,125,1602,1084,16.7,37.8,0.7117
2004,03,13,18:00:00,3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41.0,0.7451
2004,03,13,19:00:00,4.2,1609,258,19.6,1286,277,758,165,1922,1612,15.8,42.4,0.7569
2004,03,13,20:00:00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.7786
2004,03,13,21:00:00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,15.3,46.8,0.8091
2004,03,13,22:00:00,3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.8060
2004,03,13,23:00:00,2.6,1418,116,10.9,1010,172,892,130,1603,1536,14.7,49.3,0.8193
2004,03,14,00:00:00,2.9,1534,93,11.0,1013,190,889,129,1611,1535,13.9,53.6,0.8498
2004,03,14,01:00:00,2.8,1484,131,11.9,1045,174,880,119,1624,1530,14.6,51.5,0.8536
2004,03,14,02:00:00,2.5,1367,92,8.6,925,128,953,104,1543,1337,12.5,58.9,0.8537
2004,03,14,03:00:00,2.4,1344,132,9.7,968,-200,921,-200,1620,1278,11.6,63.4,0.8674
2004,03,14,04:00:00,-200,1130,56,5.2,773,70,1130,82,1452,1051,12.1,61.1,0.8603
2004,03,14,05:00:00,1.2,1062,32,3.7,691,53,1272,70,1377,929,11.5,63.1,0.8533
2004,03,14,06:00:00,1,1076,29,2.5,618,44,1395,63,1333,872,11.6,62.2,0.8473
2004,03,14,07:00:00,0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.8530
2004,03,14,08:00:00,1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.8530
2004,03,14,09:00:00,1.6,1235,57,6.4,828,118,1055,83,1527,1093,12.4,60.0,0.8627
2004,03,14,10:00:00,2.2,1332,129,8.6,923,144,952,98,1614,1225,14.5,53.1,0.8728
2004,03,14,11:00:00,2.8,1445,148,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.8789
2004,03,14,12:00:00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.8474
2004,03,14,13:00:00,2,1281,93,7.5,880,113,1084,104,1525,980,21.2,31.4,0.7812
2004,03,14,14:00:00,1.8,1207,84,7.5,879,103,1104,102,1490,872,21.4,30.2,0.7616
2004,03,14,15:00:00,1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29.0,0.7525
2004,03,14,16:00:00,3,1458,150,11.9,1045,170,974,129,1646,1099,22.2,28.4,0.7516
2004,03,14,17:00:00,2.9,1438,156,12.0,1051,180,943,128,1668,1206,21.3,30.8,0.7696
2004,03,14,18:00:00,2.5,1478,122,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307
2004,03,14,19:00:00,4.6,1808,262,20.6,1312,261,753,157,1993,1698,18.4,41.7,0.8732
2004,03,14,20:00:00,5.9,1898,341,23.1,1381,325,681,173,2103,1905,17.6,46.1,0.9210
2004,03,14,21:00:00,3.4,1560,214,14.7,1140,217,784,146,1818,1648,16.7,49.6,0.9320
2004,03,14,22:00:00,2.1,1324,100,9.0,940,146,924,121,1587,1423,16.3,51.0,0.9341
2004,03,14,23:00:00,2.2,1349,79,8.8,933,152,933,119,1617,1349,14.7,55.9,0.9314
2004,03,15,00:00:00,1.8,1239,66,7.4,872,104,985,99,1547,1250,14.8,54.7,0.9164
2004,03,15,01:00:00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14.0,57.0,0.9094
2004,03,15,02:00:00,1.8,1224,66,7.0,855,108,998,88,1566,1149,13.4,61.3,0.9361
2004,03,15,03:00:00,1.1,1078,44,4.4,734,-200,1128,-200,1487,1021,12.6,63.5,0.9230
2004,03,15,04:00:00,-200,1078,44,4.0,711,66,1150,71,1468,1013,12.3,65.4,0.9351
2004,03,15,05:00:00,1,1075,39,3.9,703,88,1156,74,1464,1010,11.9,67.4,0.9375
2004,03,15,06:00:00,1.4,1157,51,6.4,830,138,1030,80,1584,1083,11.4,70.5,0.9475
2004,03,15,07:00:00,2.2,1314,107,9.7,966,228,897,89,1710,1235,11.3,70.2,0.9401
2004,03,15,08:00:00,5.5,1797,336,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.9170
2004,03,15,09:00:00,8.1,1961,618,36.7,1701,478,537,149,2665,2184,14.8,54.3,0.9076
2004,03,15,10:00:00,5.8,1771,438,26.6,1470,394,622,157,2262,1973,17.4,45.6,0.8993
2004,03,15,11:00:00,4.2,1564,334,20.1,1300,319,710,155,2029,1798,19.8,38.5,0.8801
2004,03,15,12:00:00,3.1,1430,221,14.1,1120,201,831,134,1783,1522,22.0,34.1,0.8904
2004,03,15,13:00:00,2.9,1417,207,14.9,1146,171,830,119,1831,1404,23.3,32.2,0.9096
2004,03,15,14:00:00,2.9,1400,191,15.4,1162,159,838,111,1829,1263,23.9,30.0,0.8757
2004,03,15,15:00:00,2.5,1317,185,12.1,1053,153,926,104,1707,1137,24.4,28.9,0.8736
2004,03,15,16:00:00,2.3,1318,141,11.5,1033,143,950,99,1675,1068,24.4,29.4,0.8848
2004,03,15,17:00:00,2.8,1445,214,14.8,1141,156,857,110,1824,1252,23.8,31.3,0.9137
2004,03,15,18:00:00,6.1,1917,471,32.1,1601,314,631,162,2447,1843,22.5,35.4,0.9547
2004,03,15,19:00:00,8,2040,685,39.2,1754,404,542,187,2679,2122,20.4,42.5,1.0086
2004,03,15,20:00:00,6.5,1895,538,31.0,1573,320,565,165,2443,1992,18.3,52.6,1.0945
2004,03,15,21:00:00,4.2,1595,319,19.9,1294,256,678,145,2058,1707,16.7,57.4,1.0786
2004,03,15,22:00:00,3.2,1439,224,15.3,1159,193,764,125,1856,1494,15.7,60.2,1.0654
2004,03,15,23:00:00,1.4,1142,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.0580
2004,03,16,00:00:00,2.1,1304,155,11.1,1019,127,852,103,1731,1272,14.1,65.7,1.0494
2004,03,16,01:00:00,1.2,1074,49,5.4,784,79,1098,88,1483,1040,14.8,60.6,1.0148
2004,03,16,02:00:00,0.8,968,29,2.8,640,43,1320,61,1386,867,14.8,59.2,0.9879
2004,03,16,03:00:00,0.7,929,25,2.3,608,-200,1376,-200,1364,826,13.6,62.1,0.9636
2004,03,16,04:00:00,-200,941,25,2.6,626,59,1316,59,1373,840,12.3,66.2,0.9450
2004,03,16,05:00:00,0.6,937,17,2.0,585,38,1412,52,1348,793,12.8,63.2,0.9283
2004,03,16,06:00:00,0.9,1017,27,3.5,681,82,1246,64,1418,870,11.2,68.5,0.9081
2004,03,16,07:00:00,1.3,1171,50,5.1,770,99,1162,70,1467,930,11.0,66.5,0.8705
2004,03,16,08:00:00,3.4,1541,218,16.2,1185,263,770,97,1889,1407,11.7,63.7,0.8719
2004,03,16,09:00:00,3.7,1539,285,19.7,1287,229,698,95,2055,1507,13.6,56.3,0.8743
2004,03,16,10:00:00,5.3,1735,437,25.1,1431,396,628,150,2211,1843,17.8,42.9,0.8672
2004,03,16,11:00:00,4.1,1571,327,20.0,1297,314,730,162,1973,1729,21.4,33.3,0.8417
2004,03,16,12:00:00,3.3,1452,283,18.3,1250,217,776,154,1868,1583,24.4,27.4,0.8231
2004,03,16,13:00:00,4,1579,366,22.3,1359,252,724,161,1998,1671,25.3,26.1,0.8264
2004,03,16,14:00:00,3.8,1466,318,20.4,1309,263,773,161,1897,1491,25.8,23.2,0.7589
2004,03,16,15:00:00,2.8,1280,228,14.6,1136,180,893,128,1675,1240,27.0,20.2,0.7094
2004,03,16,16:00:00,2.9,1407,201,16.6,1197,184,905,129,1759,1313,28.2,18.6,0.7014
2004,03,16,17:00:00,2.9,1389,199,15.8,1173,190,898,133,1739,1363,28.0,19.1,0.7098
2004,03,16,18:00:00,3.4,1447,237,17.8,1235,184,859,139,1778,1296,23.9,25.7,0.7519
2004,03,16,19:00:00,3.9,1551,261,19.1,1271,181,800,137,1875,1432,21.3,34.8,0.8730
2004,03,16,20:00:00,3.2,1474,230,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.8704
2004,03,16,21:00:00,5.1,1800,349,24.9,1426,317,700,177,2106,2034,19.0,41.3,0.9007
2004,03,16,22:00:00,2.6,1379,183,13.5,1101,184,818,138,1710,1602,17.9,45.9,0.9342
2004,03,16,23:00:00,1.7,1201,88,9.1,943,130,935,117,1560,1362,16.7,48.9,0.9226
2004,03,17,00:00:00,1.7,1205,85,8.6,925,132,922,107,1547,1314,15.5,52.9,0.9271
2004,03,17,01:00:00,1.2,1072,47,5.4,784,95,1066,90,1442,1114,15.5,51.9,0.9059
2004,03,17,02:00:00,0.9,998,34,4.1,714,70,1169,79,1383,992,14.1,55.6,0.8910
2004,03,17,03:00:00,0.7,933,26,2.6,625,-200,1292,-200,1332,884,13.1,57.9,0.8666
2004,03,17,04:00:00,-200,883,17,1.9,577,54,1396,60,1303,808,12.7,57.9,0.8447
2004,03,17,05:00:00,0.5,869,11,1.6,554,28,1460,40,1268,667,11.8,58.0,0.8026
2004,03,17,06:00:00,0.5,891,18,1.9,576,46,1417,53,1289,733,11.9,57.4,0.7978
2004,03,17,07:00:00,1.6,1173,84,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.7956
2004,03,17,08:00:00,4.1,1587,260,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.7958
2004,03,17,09:00:00,6.6,1852,534,36.4,1696,377,553,127,2535,1931,14.1,50.0,0.8020
2004,03,17,10:00:00,4.3,1522,368,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048
2004,03,17,11:00:00,2.9,1438,200,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.8265
2004,03,17,12:00:00,2.5,1393,145,12.5,1067,210,905,142,1654,1490,24.3,28.3,0.8471
2004,03,17,13:00:00,2.8,1452,188,15.1,1152,204,861,153,1747,1508,25.6,25.6,0.8254
2004,03,17,14:00:00,2.6,1389,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503
2004,03,17,15:00:00,2,1207,103,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.6500
2004,03,17,16:00:00,2.9,1365,193,15.2,1154,186,940,129,1679,1221,29.3,15.8,0.6309
2004,03,17,17:00:00,2.5,1247,134,12.3,1060,147,1032,114,1525,1069,28.5,14.9,0.5708
2004,03,17,18:00:00,5,1557,386,27.0,1478,299,793,158,1981,1569,25.9,16.0,0.5237
2004,03,17,19:00:00,7.6,1973,577,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.7403
2004,03,17,20:00:00,6.7,1975,523,35.1,1667,347,597,182,2416,2359,20.5,38.2,0.9133
2004,03,17,21:00:00,5.7,1795,472,27.2,1485,336,653,180,2174,2050,19.1,42.6,0.9294
2004,03,17,22:00:00,2.8,1444,206,15.0,1150,202,770,136,1727,1727,17.2,44.1,0.8558
2004,03,17,23:00:00,2.6,1488,216,15.7,1171,178,731,127,1778,1705,16.0,50.9,0.9206
2004,03,18,00:00:00,2.3,1371,159,13.0,1083,154,796,116,1669,1551,14.8,53.9,0.9024
2004,03,18,01:00:00,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975
2004,03,18,02:00:00,1,1064,44,5.5,787,61,1057,88,1407,1115,14.8,52.1,0.8686
2004,03,18,03:00:00,0.7,970,42,3.6,687,-200,1196,-200,1351,969,13.9,53.9,0.8501
2004,03,18,04:00:00,-200,954,28,2.9,645,60,1260,78,1334,925,11.6,61.9,0.8442
2004,03,18,05:00:00,0.6,931,20,2.5,623,37,1293,57,1307,828,12.0,58.9,0.8233
2004,03,18,06:00:00,0.7,938,26,3.0,650,68,1251,71,1333,893,10.9,62.1,0.8113
2004,03,18,07:00:00,1.5,1166,78,7.7,885,139,1005,85,1551,1075,10.6,63.3,0.8067
2004,03,18,08:00:00,4.7,1643,319,23.3,1384,339,667,124,2094,1610,11.5,60.0,0.8117
2004,03,18,09:00:00,6.6,1934,506,35.8,1682,421,541,151,2468,2051,14.3,50.6,0.8186
2004,03,18,10:00:00,4.5,1617,-200,21.3,1333,349,686,150,2010,1819,17.8,40.5,0.8210
2004,03,18,11:00:00,2.8,1473,-200,14.3,1127,224,831,152,1752,1568,20.8,34.4,0.8365
2004,03,18,12:00:00,2.2,1379,-200,12.5,1068,171,899,139,1663,1374,23.8,28.2,0.8219
2004,03,18,13:00:00,2.2,1385,-200,12.2,1056,149,891,133,1648,1268,24.2,28.7,0.8515
2004,03,18,14:00:00,2.3,1379,-200,13.1,1087,137,901,126,1660,1144,25.2,24.9,0.7829
2004,03,18,15:00:00,2.2,1322,-200,14.4,1129,149,934,128,1639,1109,27.0,17.8,0.6275
2004,03,18,16:00:00,2.8,1496,-200,16.8,1205,172,822,169,1767,1347,27.1,23.1,0.8180
2004,03,18,17:00:00,2.7,1409,-200,14.5,1131,166,873,149,1689,1206,25.8,23.9,0.7832
2004,03,18,18:00:00,3.7,1513,-200,21.5,1338,214,764,156,1957,1397,23.0,26.8,0.7446
2004,03,18,19:00:00,5.1,1667,-200,26.4,1464,280,683,168,2118,1588,20.7,31.1,0.7523
2004,03,18,20:00:00,5.1,1667,-200,26.0,1453,276,684,176,2051,1569,18.6,36.2,0.7676
2004,03,18,21:00:00,3.2,1430,-200,14.1,1121,178,814,135,1732,1322,16.0,48.4,0.8768
2004,03,18,22:00:00,2.1,1333,-200,10.3,989,129,885,121,1621,1194,14.5,57.8,0.9456
2004,03,18,23:00:00,1.7,1262,-200,8.3,911,95,948,99,1545,1062,13.1,64.2,0.9606
2004,03,19,00:00:00,2,1287,-200,8.9,936,126,918,106,1606,1040,12.0,69.7,0.9735
